,federal_district,federal_district_short,region_code,region_name,okato,id,name,name_short,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
1170,Сибирский федеральный округ,СФО,75,Забайкальский край,76000000000,328,Федеральное государственное бюджетное образовательное учреждение высшего образования «Забайкальский государственный университет»,"ФГБОУ ВО «Забайкальский государственный университет», ФГБОУ ВО «ЗабГУ»",2017,58.41,58.03,1.17,1571.6,138.56,65.0,3.91,59.04,33.6798,41.6493,962.7156,45367.4,1228596.1,84649,76.05,693,37539.81,6668.6
1175,Приволжский федеральный округ,ПФО,21,Чувашская Республика - Чувашия,97000000000,329,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чувашский государственный педагогический университет им. И.Я. Яковлева»,"ЧГПУ им. И.Я. Яковлева, Чувашский государственный педагогический университет им. И.Я. Яковлева",2017,63.6,72.97,10.25,1755.91,178.25,75.0,4.26,65.13,5.403299999999999,19.8453,839.4786,20150.6,484894.5,56777,84.06,249,22240.68,3095.25
1180,Приволжский федеральный округ,ПФО,21,Чувашская Республика - Чувашия,97000000000,330,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чувашский государственный университет имени И.Н. Ульянова»,ФГБОУ ВО  «ЧГУ им. И.Н. Ульянова»,2017,63.03,89.63,11.69,1978.27,224.13,70.0,3.11,63.25,79.128,109.032,3137.4,70434.7,1554522.8,103445,69.06,840,72172.8,10632.65
1184,Уральский федеральный округ,УФО,45,Курганская область,37000000000,331,Федеральное государственное бюджетное образовательное учреждение высшего образования «Шадринский государственный педагогический университет»,"ФГБОУ ВО ""Шадринский государственный педагогический университет""",2017,61.79,184.86,12.45,1863.62,190.86,70.0,3.13,62.51,4.6475,3.718,336.7936,28412.7,286438.3,56990,82.74,143,26434.980000000003,1606.8
1189,Уральский федеральный округ,УФО,86,Ханты-Мансийский автономный округ - Югра,71100000000,333,Федеральное государственное бюджетное образовательное учреждение высшего образования «Югорский государственный университет»,"ФГБОУ ВО «ЮГУ», Югорский государственный университет, ЮГУ, ФГБОУ ВО «Югорский государственный университет»",2017,60.5,130.43,4.97,4310.92,187.77,80.0,3.2,60.46,21.518,30.6327,384.9692,31981.0,1057037.8,57404,74.82,203,14207.97,3142.5
1194,Южный федеральный округ,ЮФО,61,Ростовская область,60000000000,334,Федеральное государственное бюджетное образовательное учреждение высшего образования «Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова»,"ЮРГПУ (НПИ), ФГБОУ ВО «ЮРГПУ (НПИ) имени М.И. Платова», Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова, ФГБОУ ВО «Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова» ",2017,58.23,213.33,4.19,2746.21,182.25,60.0,4.69,59.39,174.1828,214.8982,1697.4980000000005,128648.5,1656103.6,92528,74.23,682,110620.4,6851.5
1199,Уральский федеральный округ,УФО,74,Челябинская область,75000000000,336,Федеральное государственное автономное образовательное учреждение высшего образования «Южно-Уральский государственный университет (национальный исследовательский университет)»,"ФГАОУ ВО «ЮУрГУ (НИУ)», Южно-Уральский государственный университет",2017,62.88,315.78,10.01,2216.21,206.1,70.0,3.91,67.39,700.5632,961.0372,2536.3456,556079.8,3902637.5,186688,65.64,1598,273609.56,17163.45
1204,Южный федеральный округ,ЮФО,61,Ростовская область,60000000000,337,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»,"Южный федеральный университет, ФГАОУ ВО «ЮФУ», ЮФУ",2017,73.54,605.41,8.36,2187.75,178.72,70.0,5.97,74.25,812.8223999999999,1236.066,7096.174800000001,1377733.8,4978662.1,292769,74.11,2028,480554.88,16884.05
1209,Центральный федеральный округ,ЦФО,76,Ярославская область,78000000000,340,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ярославский государственный педагогический университет им. К.Д. Ушинского»,"Ярославский государственный педагогический университет им. К.Д. Ушинского, ФГБОУ ВО «Ярославский государственный педагогический университет им. К.Д. Ушинского», ЯГПУ им. К.Д. Ушинского",2017,67.98,140.82,1.7,1697.63,159.7,85.0,4.11,70.92,30.033,32.8375,793.567,53293.6,642467.7,62298,77.18,355,50129.55,3722.45
1214,Центральный федеральный округ,ЦФО,76,Ярославская область,78000000000,341,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ярославский государственный технический университет»,"ФГБОУ ВО ""ЯГТУ"", ЯГТУ, Ярославский государственный технический университет",2017,60.67,90.34,2.22,1868.83,161.11,80.0,4.05,61.93,24.7095,32.946000000000005,86.4975,25002.7,517198.9,65780,69.16,285,25746.9,3225.5
1219,Центральный федеральный округ,ЦФО,76,Ярославская область,78000000000,342,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ярославский государственный университет им. П.Г. Демидова»,"ФГБОУ ВО «Ярославский государственный университет им. П.Г. Демидова», Ярославский государственный университет им. П.Г. Демидова, Ярославский госуниверситет им. П.Г. Демидова, ЯрГУ им. П.Г. Демидова, ЯрГУ",2017,68.47,252.34,0.66,2054.01,189.78,80.0,5.7,74.08,115.24,136.3616,468.5624,115229.4,937961.7,44497,83.95,344,48404.240000000005,5179.4
1224,Сибирский федеральный округ,СФО,24,Красноярский край,4000000000,1507,Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»,"ФГАОУ ВО «Сибирский федеральный университет», Сибирский федеральный университет, СФУ",2017,65.06,389.62,2.52,5077.39,187.9,75.0,4.19,66.23,673.6283999999999,852.1864000000002,7181.456000000001,805120.2,10491925.2,309091,61.79,2446,925859.92,23796.6
1229,Приволжский федеральный округ,ПФО,16,Республика Татарстан (Татарстан),92000000000,1519,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»,"ФГАОУ ВО «Казанский (Приволжский) федеральный университет», ФГАОУ ВО КФУ, КФУ, Казанский федеральный университет, Казанский университет, Казанский (Приволжский) федеральный университет",2017,70.61,619.07,13.45,3155.45,213.32,80.0,5.19,79.61,2026.8494,1577.2479999999998,5658.162899999999,1705073.8,8690898.8,265978,69.71,2143,280025.81,24869.0
1234,Дальневосточный федеральный округ,ДВФО,25,Приморский край,5000000000,1520,Федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»,"ФГАОУ ВО «Дальневосточный федеральный университет», Дальневосточный федеральный университет, ФГАОУ ВО ДВФУ, ДВФУ",2017,64.26,288.97,7.6,5317.54,195.48,65.0,5.82,69.14,652.2972,781.1759,1759.2991,575189.0,10584559.1,482631,59.59,1613,398120.66,18453.05
1239,Дальневосточный федеральный округ,ДВФО,14,Республика Саха (Якутия),98000000000,1527,Федеральное государственное автономное образовательное учреждение высшего образования «Северо-Восточный федеральный университет имени М.К. Аммосова»,ФГАОУ ВО «Северо-Восточный федеральный университет им. М.К.Аммосова»; Северо-Восточный федеральный университет; СВФУ,2017,63.0,268.73,1.52,3333.0,124.21,70.0,5.76,65.49,154.18699999999998,249.8771,3594.4403,367113.0,4553215.7,152357,66.71,1177,119853.91,12009.0
1244,Северо-западный федеральный округ,СЗФО,60,Псковская область,58000000000,1530,Федеральное государственное бюджетное образовательное учреждение высшего образования «Псковский государственный университет»,ФГБОУ ВО «Псковский государственный университет»,2017,60.44,121.94,16.77,2102.37,170.28,70.0,3.19,63.09,17.3568,42.8496,932.1596,47600.1,820660.8,64317,68.23,452,4479.32,4964.8
